network,property,result,runtime,output_intervals,observation
ACASXU_run2a_1_9_batch_2000.onnx,prop_9.vnnlib,SAT/UNSAFE,2.64,"Y0: [-60010.34, 155166.95]; Y1: [-147697.68, 240317.28]; Y2: [-195188.74, 285035.5]; Y3: [-198954.26, 209555.01]; Y4: [-225949.45, 190683.2]",
ACASXU_run2a_1_9_batch_2000.onnx,prop_10.vnnlib,SAT/UNSAFE,3.26,"Y0: [-64431.29, 166599.78]; Y1: [-158579.37, 258022.41]; Y2: [-209579.26, 306037.02]; Y3: [-213612.16, 224992.6]; Y4: [-242603.83, 204737.58]",
ACASXU_run2a_2_1_batch_2000.onnx,prop_1.vnnlib,SAT/UNSAFE,20.92,"Y0: [-884958.95, 2070714.12]; Y1: [-1081485.39, 1378350.27]; Y2: [-1112204.53, 1837495.22]; Y3: [-1110452.27, 2073282.5]; Y4: [-1748508.79, 2204477.95]",
ACASXU_run2a_2_1_batch_2000.onnx,prop_2.vnnlib,SAT/UNSAFE,21.5,"Y0: [-884958.95, 2070714.12]; Y1: [-1081485.39, 1378350.27]; Y2: [-1112204.53, 1837495.22]; Y3: [-1110452.27, 2073282.5]; Y4: [-1748508.79, 2204477.95]",
ACASXU_run2a_2_1_batch_2000.onnx,prop_3.vnnlib,SAT/UNSAFE,8.85,"Y0: [-442534.36, 1035559.5]; Y1: [-540842.54, 689341.47]; Y2: [-556183.85, 918895.06]; Y3: [-555236.22, 1036937.81]; Y4: [-874341.23, 1102387.06]",
ACASXU_run2a_2_1_batch_2000.onnx,prop_4.vnnlib,SAT/UNSAFE,8.96,"Y0: [-334313.42, 782444.39]; Y1: [-408608.92, 520895.38]; Y2: [-420211.35, 694413.39]; Y3: [-419494.08, 783473.41]; Y4: [-660620.25, 833071.34]",
ACASXU_run2a_2_2_batch_2000.onnx,prop_1.vnnlib,SAT/UNSAFE,22.17,"Y0: [-1518488.26, 3512607.53]; Y1: [-1356175.57, 2834485.88]; Y2: [-1261399.09, 2967596.97]; Y3: [-1635858.35, 3123496.82]; Y4: [-1668567.54, 2992926.26]",
ACASXU_run2a_2_2_batch_2000.onnx,prop_2.vnnlib,SAT/UNSAFE,22.13,"Y0: [-1518488.26, 3512607.53]; Y1: [-1356175.57, 2834485.88]; Y2: [-1261399.09, 2967596.97]; Y3: [-1635858.35, 3123496.82]; Y4: [-1668567.54, 2992926.26]",
ACASXU_run2a_2_2_batch_2000.onnx,prop_3.vnnlib,SAT/UNSAFE,8.22,"Y0: [-692963.02, 1603481.37]; Y1: [-618969.51, 1293674.86]; Y2: [-575650.26, 1354472.46]; Y3: [-746655.33, 1425376.52]; Y4: [-761408.03, 1366089.22]",
ACASXU_run2a_2_2_batch_2000.onnx,prop_4.vnnlib,SAT/UNSAFE,8.69,"Y0: [-540786.43, 1251209.67]; Y1: [-483025.82, 1009540.45]; Y2: [-449241.66, 1056949.88]; Y3: [-582645.82, 1112361.59]; Y4: [-594188.85, 1065993.3]",
